Time,F_Scale,Location,County,State,Lat,Lon,Comments
2236,125,4 NW Stoneboro,Mercer,PA,41.39,-80.16,Report from mPING: Half Dollar (1.25 in.). (PBZ)
2238,100,3 W Chariton,Lucas,IA,41.02,-93.37,Largest hail was quarter sized. (DMX)
2238,100,2 NW Sandy Lake,Mercer,PA,41.37,-80.1,Report from mPING: Quarter (1.00 in.). (PBZ)
2240,175,Solon,Cuyahoga,OH,41.37,-81.42,Images shared via social media of large hail. (CLE)
2241,100,2 NE Stanley,Johnson,KS,38.87,-94.63,Mping report. (EAX)
2241,125,3 E Lawson,Ray,MO,39.44,-94.15,Taken from social media. Time estimated by radar. (EAX)
2242,100,1 NW Chariton,Lucas,IA,41.03,-93.32,Quarter-sized hail on NW side of Chariton. (DMX)
2242,100,2 W New Lebanon,Mercer,PA,41.42,-80.12,Report from mPING: Quarter (1.00 in.). (PBZ)
2243,100,1 W Stanley,Johnson,KS,38.85,-94.68,Report from mPING: Quarter (1.00 in.). (EAX)
2243,175,1 S Chariton,Lucas,IA,41.01,-93.31,Trained spotter reports hail of varying size... with the largest stones golf ball size. (DMX)
2243,100,Chariton,Lucas,IA,41.02,-93.31,Largest stones were quarter sized. (DMX)
2244,125,2 NW Knoxville,Ray,MO,39.47,-94.04,(EAX)
2245,100,1 W Stanley,Johnson,KS,38.85,-94.68,Estimated quarter sized hail from spotter... time estimated by radar. (EAX)
2245,125,3 NNW Knoxville,Ray,MO,39.48,-94.04,Social media report. Time confirmed from radar. (EAX)
2245,200,Chariton,Lucas,IA,41.02,-93.31,Picture of 2 inch diameter hail shared by broadcast media. (DMX)
2245,175,3 SW Polk,Venango,PA,41.34,-79.98,Hail size estimated from photo. (PBZ)
2247,125,3 NW Knoxville,Ray,MO,39.49,-94.05,Report from mPING: Half Dollar (1.25 in.). (EAX)
2248,200,Bristolville,Trumbull,OH,41.39,-80.87,Social media images of large hail and damaged vehicles. (CLE)
2258,125,2 S Kingston,Caldwell,MO,39.61,-94.04,(EAX)
2305,100,5 ESE Brimfield,Portage,OH,41.05,-81.27,Quarter sized hail reported by the public. (CLE)
2306,150,1 S Cranberry,Venango,PA,41.33,-79.72,(PBZ)
2310,200,Ardmore,Carter,OK,34.17,-97.14,X Post with Picture. (OUN)
2310,100,3 ESE Cranberry,Venango,PA,41.33,-79.67,(PBZ)
2310,150,1 WNW Cranberry,Venango,PA,41.36,-79.74,(PBZ)
2315,100,1 NW Riverton,Cherokee,KS,37.09,-94.72,Quarter size hail. (SGF)
2322,175,Breckenridge,Stephens,TX,32.76,-98.91,Several Facebook reports and photos of up to golfball size hail in Breckenridge. (FWD)
2324,125,1 E Breckenridge,Stephens,TX,32.75,-98.89,Report from mPING Half Dollar 1.25 in. (FWD)
2327,125,Breckenridge,Stephens,TX,32.75,-98.91,Viewer sent broadcast media a picture of quarter to half dollar sized hail on south Miller Street near downtown Breckenridge. (FWD)
2327,100,10 SE Graham,Young,TX,33,-98.45,Video on X showed hail up to quarter size at Hwy 16 and FM 1191. (FWD)
2327,125,4 S Stillwater,Payne,OK,36.06,-97.06,(OUN)
2330,175,Harriet,Tom Green,TX,31.55,-100.32,(SJT)
2335,100,7 WNW Graford,Palo Pinto,TX,32.99,-98.36,From spotter network. (FWD)
2344,100,Ardmore,Carter,OK,34.17,-97.14,(OUN)
2345,100,1 SW Franklin,Venango,PA,41.38,-79.85,Corrects previous hail report from 1 SW Franklin. (PBZ)
2348,100,2 NE Ardmore,Carter,OK,34.2,-97.12,Report from mPING: Quarter (1.00 in.). (OUN)
2348,100,5 WSW Galt,Grundy,MO,40.11,-93.48,Public/Social media report... time estimated from radar. (EAX)
2350,175,Miles,Runnels,TX,31.6,-100.18,(SJT)
2350,100,Nora,Jo Daviess,IL,42.46,-89.94,(DVN)
2357,150,7 SE Jacksboro,Jack,TX,33.14,-98.08,Facebook video showed hail up to half dollar size and estimated 50-60 mph winds near the Hwy 199/281 split southeast of Jacksboro. (FWD)
0000,100,7 SE Jacksboro,Jack,TX,33.14,-98.08,(FWD)
0004,100,1 NNE Lowake,Concho,TX,31.57,-100.07,Time estimated via radar. (SJT)
0015,100,Runaway Bay,Wise,TX,33.17,-97.87,Report and video on X showed up to quarter size hail fell in Runaway Bay. (FWD)
0019,100,1 W Unionville,Putnam,MO,40.48,-93.03,Social media report. Time estimated from radar. (EAX)
0042,100,Riverside,Washington,IA,41.49,-91.58,(DVN)
0043,100,2 ESE Camdenton,Camden,MO,37.99,-92.71,Quarter size hail. (SGF)
0102,100,1 ENE Coffeyville,Montgomery,KS,37.05,-95.61,Mostly dimes with a few quarters and torrential rainfall. (ICT)
0120,100,Winnebago,Winnebago,IL,42.27,-89.24,(LOT)
0121,125,3 N Ames,Story,IA,42.07,-93.63,Nickel to half dollar size. (DMX)
0124,100,1 S Gilbert,Story,IA,42.09,-93.65,Relayed by EM. (DMX)
0127,100,4 ENE Winnebago,Winnebago,IL,42.3,-89.17,reported at WIFR. (LOT)
0129,100,Madrid,Boone,IA,41.88,-93.82,(DMX)
0132,100,Hales Corners,Milwaukee,WI,42.94,-88.05,Mping report out of Hales Corners. Time estimated from radar. (MKX)
0134,100,2 SE Elkhorn,Walworth,WI,42.65,-88.51,(MKX)
0135,100,Earlham,Madison,IA,41.49,-94.12,(DMX)
0136,100,6 NE Ames,Story,IA,42.08,-93.54,Relayed from Spotter Network. (DMX)
0145,100,Poplar Grove,Boone,IL,42.37,-88.82,relayed by broadcast media. (LOT)
0147,100,1 S Mccallsburg,Story,IA,42.15,-93.39,Relayed by EM. (DMX)
0150,175,1 WNW Gowrie,Webster,IA,42.28,-94.3,Largest hail is golf ball size. (DMX)
0200,175,3 SSE Nevada,Story,IA,41.98,-93.43,(DMX)
0208,100,2 W Colo,Story,IA,42.02,-93.35,(DMX)
0225,100,3 WSW Ponca City,Kay,OK,36.69,-97.14,Near US highway 60 and OK highway 156. (OUN)
0227,100,5 SW Hendrix,Grayson,TX,33.72,-96.46,Report from mPING. (FWD)
0254,100,Brownwood,Brown,TX,31.71,-98.99,Time estimated via radar. (SJT)
